K,Dimension,Number of Points,Time,Distribution
9,2,25600,9.5119e-06,Gaussian
10,2,25600,0.000102432,Gaussian
11,2,25600,0.000102102,Gaussian
1,2,51200,0.000102367,Gaussian
2,2,51200,4.29048e-05,Gaussian
3,2,51200,1.168e-07,Gaussian
4,2,51200,1.458e-07,Gaussian
5,2,51200,1.443e-07,Gaussian
6,2,51200,1.575e-07,Gaussian
7,2,51200,1.551e-07,Gaussian
8,2,51200,0.000139317,Gaussian
9,2,51200,9.38312e-05,Gaussian
10,2,51200,0.000207601,Gaussian
11,2,51200,1.485e-07,Gaussian
1,2,102400,2.0085e-06,Gaussian
2,2,102400,2.3183e-06,Gaussian
3,2,102400,1.389e-07,Gaussian
4,2,102400,1.986e-06,Gaussian
5,2,102400,1.364e-07,Gaussian
6,2,102400,1.352e-07,Gaussian
7,2,102400,1.563e-07,Gaussian
8,2,102400,1.563e-07,Gaussian
9,2,102400,1.482e-07,Gaussian
10,2,102400,1.432e-07,Gaussian
11,2,102400,1.47e-07,Gaussian
1,2,204800,1.21447e-05,Gaussian
2,2,204800,1.418e-07,Gaussian
3,2,204800,9.67726e-05,Gaussian
4,2,204800,1.417e-07,Gaussian
5,2,204800,1.451e-07,Gaussian
6,2,204800,1.412e-07,Gaussian
7,2,204800,0.000150582,Gaussian
8,2,204800,1.295e-07,Gaussian
9,2,204800,1.414e-07,Gaussian
10,2,204800,1.416e-07,Gaussian
11,2,204800,1.278e-07,Gaussian
1,2,409600,8.59375e-05,Gaussian
2,2,409600,1.479e-07,Gaussian
3,2,409600,1.373e-07,Gaussian
4,2,409600,1.62646e-05,Gaussian
5,2,409600,1.80537e-05,Gaussian
6,2,409600,2.21106e-05,Gaussian
7,2,409600,0.000203978,Gaussian
8,2,409600,1.394e-07,Gaussian
9,2,409600,0.000108256,Gaussian
10,2,409600,0.000170179,Gaussian
11,2,409600,2.338e-07,Gaussian
1,2,819200,3.613e-07,Gaussian
2,2,819200,1.358e-07,Gaussian
3,2,819200,0.000496793,Gaussian
4,2,819200,0.000554995,Gaussian
5,2,819200,0.000696258,Gaussian
6,2,819200,1.524e-07,Gaussian
7,2,819200,0.000714243,Gaussian
8,2,819200,1.355e-07,Gaussian
9,2,819200,1.596e-07,Gaussian
10,2,819200,1.717e-07,Gaussian
11,2,819200,0.00100287,Gaussian
