K,Dimension,Number of Points,Time,Distribution
1,1,204800,4.6138e-06,Gaussian
2,1,204800,1.69198e-05,Gaussian
3,1,204800,8.5269e-05,Gaussian
4,1,204800,0.00043203,Gaussian
5,1,204800,0.0014006,Gaussian
6,1,204800,0.00324517,Gaussian
7,1,204800,0.00765008,Gaussian
8,1,204800,0.0145976,Gaussian
9,1,204800,0.0236574,Gaussian
10,1,204800,0.0284682,Gaussian
11,1,204800,0.0357242,Gaussian
1,1,409600,4.7811e-06,Gaussian
2,1,409600,2.24248e-05,Gaussian
3,1,409600,0.00012684,Gaussian
4,1,409600,0.000688014,Gaussian
5,1,409600,0.00249228,Gaussian
6,1,409600,0.00622375,Gaussian
7,1,409600,0.0150923,Gaussian
8,1,409600,0.0328527,Gaussian
9,1,409600,0.0556511,Gaussian
10,1,409600,0.0722,Gaussian
11,1,409600,0.0949205,Gaussian
1,1,819200,5.4102e-06,Gaussian
2,1,819200,1.87161e-05,Gaussian
3,1,819200,9.352e-05,Gaussian
4,1,819200,0.000470981,Gaussian
5,1,819200,0.00165299,Gaussian
6,1,819200,0.00420683,Gaussian
7,1,819200,0.0102635,Gaussian
8,1,819200,0.0230984,Gaussian
9,1,819200,0.040894,Gaussian
10,1,819200,0.0555344,Gaussian
11,1,819200,0.0786594,Gaussian
1,2,50,7.196e-06,Uniform
2,2,50,4.6409e-06,Uniform
3,2,50,6.1328e-06,Uniform
4,2,50,7.4858e-06,Uniform
5,2,50,8.5734e-06,Uniform
6,2,50,8.9727e-06,Uniform
7,2,50,9.3171e-06,Uniform
8,2,50,1.03052e-05,Uniform
9,2,50,1.18139e-05,Uniform
10,2,50,1.20649e-05,Uniform
11,2,50,1.29151e-05,Uniform
1,2,100,3.5959e-06,Uniform
2,2,100,5.3927e-06,Uniform
3,2,100,7.6667e-06,Uniform
4,2,100,1.08917e-05,Uniform
5,2,100,1.26565e-05,Uniform
6,2,100,1.3752e-05,Uniform
7,2,100,1.65732e-05,Uniform
8,2,100,1.71086e-05,Uniform
9,2,100,1.88271e-05,Uniform
10,2,100,1.93622e-05,Uniform
11,2,100,1.99396e-05,Uniform
1,2,200,6.1733e-06,Uniform
2,2,200,9.4337e-06,Uniform
3,2,200,1.31116e-05,Uniform
4,2,200,1.76071e-05,Uniform
5,2,200,2.14753e-05,Uniform
6,2,200,2.3257e-05,Uniform
7,2,200,2.58475e-05,Uniform
8,2,200,2.99497e-05,Uniform
9,2,200,3.21523e-05,Uniform
10,2,200,3.32383e-05,Uniform
11,2,200,3.80227e-05,Uniform
1,2,400,8.8046e-06,Uniform
2,2,400,1.64605e-05,Uniform
3,2,400,2.47653e-05,Uniform
4,2,400,3.72304e-05,Uniform
5,2,400,4.72852e-05,Uniform
