K,Dimension,Number of Points,Time,Distribution
10,1,12800,0.00611578,Gaussian
11,1,12800,0.00609917,Gaussian
1,1,25600,0.0145535,Gaussian
2,1,25600,0.0145446,Gaussian
3,1,25600,0.0140835,Gaussian
4,1,25600,0.0141353,Gaussian
5,1,25600,0.0140841,Gaussian
6,1,25600,0.0140394,Gaussian
7,1,25600,0.0140741,Gaussian
8,1,25600,0.0140361,Gaussian
9,1,25600,0.0150858,Gaussian
10,1,25600,0.0145445,Gaussian
11,1,25600,0.0144679,Gaussian
1,1,51200,0.0286776,Gaussian
2,1,51200,0.0285233,Gaussian
3,1,51200,0.0284691,Gaussian
4,1,51200,0.0284405,Gaussian
5,1,51200,0.0309409,Gaussian
6,1,51200,0.0281573,Gaussian
7,1,51200,0.0284796,Gaussian
8,1,51200,0.0280205,Gaussian
9,1,51200,0.0284963,Gaussian
10,1,51200,0.0308404,Gaussian
11,1,51200,0.0305762,Gaussian
1,1,102400,0.0667568,Gaussian
2,1,102400,0.0671516,Gaussian
3,1,102400,0.073834,Gaussian
4,1,102400,0.0671731,Gaussian
5,1,102400,0.0786672,Gaussian
6,1,102400,0.0790449,Gaussian
7,1,102400,0.0718856,Gaussian
8,1,102400,0.0709063,Gaussian
9,1,102400,0.0729983,Gaussian
10,1,102400,0.0681222,Gaussian
11,1,102400,0.0682259,Gaussian
1,1,204800,0.132599,Gaussian
2,1,204800,0.132042,Gaussian
3,1,204800,0.131474,Gaussian
4,1,204800,0.137304,Gaussian
5,1,204800,0.136053,Gaussian
6,1,204800,0.137498,Gaussian
7,1,204800,0.129071,Gaussian
8,1,204800,0.129817,Gaussian
9,1,204800,0.132616,Gaussian
10,1,204800,0.133621,Gaussian
11,1,204800,0.130843,Gaussian
1,1,409600,0.311837,Gaussian
2,1,409600,0.311808,Gaussian
3,1,409600,0.311113,Gaussian
4,1,409600,0.307043,Gaussian
5,1,409600,0.311052,Gaussian
6,1,409600,0.308299,Gaussian
7,1,409600,0.3137,Gaussian
8,1,409600,0.306851,Gaussian
9,1,409600,0.31256,Gaussian
10,1,409600,0.312107,Gaussian
11,1,409600,0.311859,Gaussian
1,1,819200,0.636895,Gaussian
2,1,819200,0.630919,Gaussian
3,1,819200,0.631147,Gaussian
4,1,819200,0.62935,Gaussian
5,1,819200,0.636675,Gaussian
6,1,819200,0.625699,Gaussian
7,1,819200,0.633507,Gaussian
8,1,819200,0.628621,Gaussian
9,1,819200,0.630415,Gaussian
10,1,819200,0.69091,Gaussian
11,1,819200,0.672517,Gaussian
1,2,50,5.6409e-06,Uniform
2,2,50,3.5404e-06,Uniform
3,2,50,3.7494e-06,Uniform
4,2,50,4.9119e-06,Uniform
5,2,50,5.1192e-06,Uniform
6,2,50,8.7348e-06,Uniform
7,2,50,9.7532e-06,Uniform
8,2,50,1.0773e-05,Uniform
9,2,50,1.2116e-05,Uniform
10,2,50,1.21029e-05,Uniform
11,2,50,1.20543e-05,Uniform
1,2,100,5.5629e-06,Uniform
2,2,100,5.6843e-06,Uniform
3,2,100,5.8907e-06,Uniform
4,2,100,1.16274e-05,Uniform
5,2,100,7.2431e-06,Uniform
6,2,100,7.2755e-06,Uniform
7,2,100,7.2413e-06,Uniform
8,2,100,8.0803e-06,Uniform
9,2,100,9.7455e-06,Uniform
10,2,100,1.56628e-05,Uniform
11,2,100,1.739e-05,Uniform
1,2,200,1.19799e-05,Uniform
2,2,200,1.2054e-05,Uniform
3,2,200,1.22465e-05,Uniform
4,2,200,1.48314e-05,Uniform
5,2,200,1.40468e-05,Uniform
6,2,200,1.28884e-05,Uniform
7,2,200,1.28511e-05,Uniform
8,2,200,1.26869e-05,Uniform
9,2,200,1.31279e-05,Uniform
10,2,200,1.30576e-05,Uniform
11,2,200,1.30004e-05,Uniform
1,2,400,2.3088e-05,Uniform
2,2,400,2.25707e-05,Uniform
3,2,400,2.26981e-05,Uniform
4,2,400,2.26829e-05,Uniform
5,2,400,2.2873e-05,Uniform
6,2,400,2.28802e-05,Uniform
7,2,400,2.28837e-05,Uniform
8,2,400,2.29177e-05,Uniform
9,2,400,2.31405e-05,Uniform
10,2,400,2.31703e-05,Uniform
11,2,400,2.31732e-05,Uniform
1,2,800,5.45098e-05,Uniform
2,2,800,7.19641e-05,Uniform
3,2,800,5.48787e-05,Uniform
4,2,800,6.09475e-05,Uniform
5,2,800,5.55608e-05,Uniform
6,2,800,5.54749e-05,Uniform
7,2,800,5.53135e-05,Uniform
8,2,800,5.53326e-05,Uniform
9,2,800,5.56229e-05,Uniform
10,2,800,7.27982e-05,Uniform
11,2,800,6.47168e-05,Uniform
1,2,1600,0.000129955,Uniform
2,2,1600,9.92426e-05,Uniform
3,2,1600,9.93183e-05,Uniform
4,2,1600,9.68126e-05,Uniform
5,2,1600,9.58923e-05,Uniform
6,2,1600,9.65527e-05,Uniform
7,2,1600,0.000106418,Uniform
8,2,1600,0.000113772,Uniform
9,2,1600,9.669e-05,Uniform
10,2,1600,9.67965e-05,Uniform
11,2,1600,0.000100332,Uniform
1,2,3200,0.000231197,Uniform
2,2,3200,0.000236141,Uniform
3,2,3200,0.000223603,Uniform
4,2,3200,0.000245788,Uniform
5,2,3200,0.000224017,Uniform
6,2,3200,0.000223906,Uniform
7,2,3200,0.000242678,Uniform
8,2,3200,0.000227504,Uniform
9,2,3200,0.000224102,Uniform
10,2,3200,0.000257917,Uniform
11,2,3200,0.000225493,Uniform
1,2,6400,0.000448268,Uniform
2,2,6400,0.000427689,Uniform
3,2,6400,0.00044623,Uniform
4,2,6400,0.000462259,Uniform
5,2,6400,0.000423669,Uniform
6,2,6400,0.000431253,Uniform
7,2,6400,0.000457287,Uniform
8,2,6400,0.000428964,Uniform
9,2,6400,0.000442979,Uniform
10,2,6400,0.000447753,Uniform
11,2,6400,0.000432142,Uniform
1,2,12800,0.00124524,Uniform
2,2,12800,0.001247,Uniform
3,2,12800,0.0012659,Uniform
4,2,12800,0.00131414,Uniform
5,2,12800,0.00125418,Uniform
6,2,12800,0.00142355,Uniform
7,2,12800,0.00123602,Uniform
8,2,12800,0.00138321,Uniform
9,2,12800,0.00122621,Uniform
10,2,12800,0.00122285,Uniform
11,2,12800,0.00123243,Uniform
1,2,25600,0.00237998,Uniform
2,2,25600,0.00233517,Uniform
3,2,25600,0.00231648,Uniform
4,2,25600,0.0023345,Uniform
5,2,25600,0.0025674,Uniform
6,2,25600,0.00253312,Uniform
7,2,25600,0.00230924,Uniform
8,2,25600,0.00231502,Uniform
9,2,25600,0.00231202,Uniform
10,2,25600,0.00231736,Uniform
